LOCALITY,BHK,SQ. FT,CONDITION ,RENT
ANNA NAGAR ,0,250,0,8000
ANNA NAGAR ,0,600,0,11000
ANNA NAGAR ,0,100,0,6000
ANNA NAGAR ,0,200,0,7000
ANNA NAGAR ,0,400,1,15000
ANNA NAGAR ,1,600,1,15000
ANNA NAGAR ,1,600,0,17500
ANNA NAGAR ,1,650,0,8500
ANNA NAGAR ,1,800,1,25000
ANNA NAGAR ,1,1000,0,15000
ANNA NAGAR ,1,600,1,20000
ANNA NAGAR ,2,900,0,26000
ANNA NAGAR ,2,1100,0,20000
ANNA NAGAR ,2,1000,0,20000
ANNA NAGAR ,2,1500,1,38000
ANNA NAGAR ,2,1000,0,22000
ANNA NAGAR ,2,1100,1,13000
ANNA NAGAR ,3,2000,1,70000
ANNA NAGAR ,3,1600,1,30000
ANNA NAGAR ,3,1000,0,35000
ANNA NAGAR ,3,900,0,22000
ANNA NAGAR ,3,1800,1,50000
ANNA NAGAR ,3,1300,1,45000
T NAGAR,0,300,0,12000
T NAGAR,0,150,1,7000
T NAGAR,0,300,1,21000
T NAGAR,0,450,0,10000
T NAGAR,0,300,0,8000
T NAGAR,0,350,0,13000
T NAGAR,1,580,1,25000
T NAGAR,1,600,0,15000
T NAGAR,1,400,0,10000
T NAGAR,1,400,1,20000
T NAGAR,1,720,1,24000
T NAGAR,1,500,1,17500
T NAGAR,2,800,1,32000
T NAGAR,2,750,0,20000
T NAGAR,2,900,0,30000
T NAGAR,2,750,1,30000
T NAGAR,2,500,0,22000
T NAGAR,2,800,1,27000
T NAGAR,3,1100,1,42000
T NAGAR,3,1600,1,50000
T NAGAR,3,1200,1,45000
T NAGAR,3,2500,1,90000
T NAGAR,3,950,1,25000
T NAGAR,3,1600,1,46000
ADYAR,0,120,1,8500
ADYAR,0,250,0,7000
ADYAR,0,150,0,5500
ADYAR,0,400,1,8000
ADYAR,0,300,1,6000
ADYAR,0,200,0,6500
ADYAR,1,600,1,30000
ADYAR ,1,800,1,20000
ADYAR,1,350,0,12000
ADYAR,1,900,0,9500
ADYAR,1,450,1,11000
ADYAR,1,350,0,10000
ADYAR,2,1618,1,50000
ADYAR,2,500,1,16000
ADYAR,2,650,1,20000
ADYAR,2,800,0,24000
ADYAR,2,1650,1,77000
ADYAR,2,800,1,20000
ADYAR,3,2200,1,60000
ADYAR,3,1264,1,60000
ADYAR,3,2200,1,70000
ADYAR,3,1300,0,50000
ADYAR,3,1600,1,57500
ADYAR,3,1360,1,60000
VELACHERY,0,150,1,8000
VELACHERY ,0,150,0,7000
VELACHERY,0,500,1,15500
VELACHERY,0,275,1,5000
VELACHERY,0,300,0,12000
VELACHERY,0,250,0,6000
VELACHERY,1,500,0,14000
VELACHERY,1,250,0,13000
VELACHERY,1,650,1,16000
VELACHERY,1,450,0,7500
VELACHERY,1,900,1,13500
VELACHERY,1,400,0,10000
VELACHERY,2,1000,0,25500
VELACHERY,2,700,0,25000
VELACHERY,2,1000,1,30000
VELACHERY,2,900,1,22000
VELACHERY,2,950,1,20000
VELACHERY,2,800,1,800
VELACHERY,3,1100,1,35000
VELACHERY,3,1750,1,40000
VELACHERY,3,1200,1,30000
VELACHERY,3,1150,1,35000
VELACHERY,3,1500,1,35000
VELACHERY,3,1200,0,20000
BESANT NAGAR,0,350,0,6000
BESANT NAGAR,0,350,0,9000
BESANT NAGAR,0,100,0,7000
BESANT NAGAR,0,250,0,4000
BESANT NAGAR,0,400,0,5000
BESANT NAGAR,0,350,0,10000
BESANT NAGAR,1,500,0,7000
BESANT NAGAR,1,600,0,15000
BESANT NAGAR,1,350,1,12500
BESANT NAGAR,1,450,0,13000
BESANT NAGAR,1,500,0,15500
BESANT NAGAR,1,600,0,12000
BESANT NAGAR,2,700,0,30000
BESANT NAGAR,2,1300,1,65000
BESANT NAGAR,2,900,1,30000
BESANT NAGAR,2,1100,1,37000
BESANT NAGAR,2,750,1,24000
BESANT NAGAR,2,1000,0,30000
BESANT NAGAR,3,1400,1,50000
BESANT NAGAR,3,1500,1,80000
BESANT NAGAR,3,1573,1,85000
BESANT NAGAR,3,1050,0,40000
BESANT NAGAR,3,1900,1,70000
BESANT NAGAR,3,1500,1,40000
MYLAPORE,0,200,0,5000
MYLAPORE,0,300,0,8000
MYLAPORE,0,500,1,8500
MYLAPORE,0,200,1,7000
MYLAPORE,0,200,0,8000
MYLAPORE,0,300,0,9000
MYLAPORE,1,550,1,19000
MYLAPORE,1,400,0,15000
MYLAPORE,1,450,0,12000
MYLAPORE,1,700,0,10000
MYLAPORE,1,450,0,15000
MYLAPORE,1,650,0,20000
MYLAPORE,2,600,1,14500
MYLAPORE,2,600,1,18000
MYLAPORE,2,800,0,22000
MYLAPORE,2,700,1,25000
MYLAPORE,2,660,1,27000
MYLAPORE,2,750,0,22000
MYLAPORE,3,1200,0,30000
MYLAPORE,3,1000,1,38000
MYLAPORE,3,1200,0,40000
MYLAPORE,3,14000,0,60000
MYLAPORE,3,1700,1,65000
MYLAPORE,3,1500,1,75000
NUNGAMBAKKAM,0,350,1,15000
NUNGAMBAKKAM,0,250,0,8500
NUNGAMBAKKAM,0,280,0,14000
NUNGAMBAKKAM,0,250,0,5000
NUNGAMBAKKAM,0,400,1,10000
NUNGAMBAKKAM,0,200,1,10000
NUNGAMBAKKAM,1,500,1,15000
NUNGAMBAKKAM,1,510,1,17000
NUNGAMBAKKAM,1,1000,0,20000
NUNGAMBAKKAM,1,700,0,20000
NUNGAMBAKKAM,1,950,1,35000
NUNGAMBAKKAM,1,500,1,15500
NUNGAMBAKKAM,2,1100,1,44000
NUNGAMBAKKAM,2,950,1,38000
NUNGAMBAKKAM,2,1100,1,35000
NUNGAMBAKKAM,2,850,0,30000
NUNGAMBAKKAM,2,1000,1,20000
NUNGAMBAKKAM,2,890,0,35000
NUNGAMBAKKAM,3,1035,1,40000
NUNGAMBAKKAM,3,1260,1,40000
NUNGAMBAKKAM,3,1000,1,35000
NUNGAMBAKKAM,3,1260,1,39000
NUNGAMBAKKAM,3,1100,0,30000
NUNGAMBAKKAM,3,1200,0,35000
KODAMBAKKAM,0,400,0,7000
KODAMBAKKAM,0,400,0,3500
KODAMBAKKAM,0,450,1,6500
KODAMBAKKAM,0,204,0,7000
KODAMBAKKAM,0,250,0,6000
KODAMBAKKAM,0,500,0,7500
KODAMBAKKAM,1,500,0,8000
KODAMBAKKAM,1,400,0,7000
KODAMBAKKAM,1,450,1,16000
KODAMBAKKAM,1,450,0,15000
KODAMBAKKAM,1,500,0,9000
KODAMBAKKAM,1,300,0,15000
KODAMBAKKAM,2,1200,1,23000
KODAMBAKKAM,2,800,1,25000
